match_id,match_number,round,group,home_team,away_team,matchup,matchup_code,display_matchup,date_beijing_text,time_beijing_text,display_time_beijing,city,stadium,kickoff_beijing,kickoff_utc,time_basis,status,source_note
M001,1,小组赛,A组,墨西哥,南非,墨西哥 vs 南非,墨西哥 vs 南非,墨西哥 vs 南非,6月12日,03:00,6月12日 03:00 北京时间,墨西哥城 (Mexico City),,2026-06-12T03:00:00+08:00,2026-06-11T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M002,2,小组赛,A组,韩国,捷克,韩国 vs 捷克,韩国 vs 捷克,韩国 vs 捷克,6月12日,10:00,6月12日 10:00 北京时间,瓜达拉哈拉 (Guadalajara),,2026-06-12T10:00:00+08:00,2026-06-12T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M003,3,小组赛,B组,加拿大,波黑,加拿大 vs 波黑,加拿大 vs 波黑,加拿大 vs 波黑,6月13日,03:00,6月13日 03:00 北京时间,多伦多 (Toronto),,2026-06-13T03:00:00+08:00,2026-06-12T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M004,4,小组赛,D组,美国,巴拉圭,美国 vs 巴拉圭,美国 vs 巴拉圭,美国 vs 巴拉圭,6月13日,09:00,6月13日 09:00 北京时间,洛杉矶 (Los Angeles),,2026-06-13T09:00:00+08:00,2026-06-13T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M005,5,小组赛,B组,卡塔尔,瑞士,卡塔尔 vs 瑞士,卡塔尔 vs 瑞士,卡塔尔 vs 瑞士,6月14日,03:00,6月14日 03:00 北京时间,圣克拉拉 (Santa Clara),,2026-06-14T03:00:00+08:00,2026-06-13T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M006,6,小组赛,C组,巴西,摩洛哥,巴西 vs 摩洛哥,巴西 vs 摩洛哥,巴西 vs 摩洛哥,6月14日,06:00,6月14日 06:00 北京时间,纽约 (New York),,2026-06-14T06:00:00+08:00,2026-06-13T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M007,7,小组赛,C组,海地,苏格兰,海地 vs 苏格兰,海地 vs 苏格兰,海地 vs 苏格兰,6月14日,09:00,6月14日 09:00 北京时间,马萨诸塞 (Massachusetts),,2026-06-14T09:00:00+08:00,2026-06-14T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M008,8,小组赛,D组,澳大利亚,土耳其,澳大利亚 vs 土耳其,澳大利亚 vs 土耳其,澳大利亚 vs 土耳其,6月14日,12:00,6月14日 12:00 北京时间,温哥华 (Vancouver),,2026-06-14T12:00:00+08:00,2026-06-14T04:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M009,9,小组赛,E组,德国,库拉索,德国 vs 库拉索,德国 vs 库拉索,德国 vs 库拉索,6月15日,01:00,6月15日 01:00 北京时间,休斯敦 (Houston),,2026-06-15T01:00:00+08:00,2026-06-14T17:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M010,10,小组赛,F组,荷兰,日本,荷兰 vs 日本,荷兰 vs 日本,荷兰 vs 日本,6月15日,04:00,6月15日 04:00 北京时间,达拉斯 (Dallas),,2026-06-15T04:00:00+08:00,2026-06-14T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
